name,address,comune,open_hours,phone_number,website
Campo di Golf,Via Ferme,Roncegno Terme,,0461773337,
Centro Equitazione Alpina Spiado,"Localit Quarazza, 1",Pieve Tesino,,0461594572,
Centro Polisportivo Borgo Valsugana,"Via Giuseppe Gozzer, 52",Borgo Valsugana,"sunday: 09:00 - 21:00, monday: 09:00 - 21:00, tuesday: 09:00 - 21:00, wednesday: 09:00 - 21:00, thursday: 09:00 - 21:00, friday: 09:00 - 21:00, saturday: 09:00 - 21:00",0461753836,
Circolo Tennis Borgo Assoc.Sport.Dilettantistica,"Piazza Mercato, 12",Borgo Valsugana,"sunday: 09:00 - 22:00, monday: 09:00 - 22:00, tuesday: 09:00 - 22:00, wednesday: 09:00 - 22:00, thursday: 09:00 - 22:00, friday: 09:00 - 22:00, saturday: 09:00 - 22:00",0461753711,
Golf Club Tesino,"Localit Coldan, 11",Pieve Tesino,"sunday: 09:00 - 18:00, monday: 09:00 - 18:00, tuesday: 09:00 - 18:00, wednesday: 09:00 - 18:00, thursday: 09:00 - 18:00, friday: 09:00 - 18:00, saturday: 09:00 - 18:00",3505332726,
Piscina Comunale,"Via Giuseppe Gozzer, 52",Borgo Valsugana,,"0461241833, 0461751227",
S.S.D. Rari Nantes Valsugana a R.L.,"Corso Ausugum, 22",Borgo Valsugana,,"0461241833, 0461751227",
S.S.D. Rari Nantes Valsugana a R.L.,"Via Trieste, 7",Roncegno Terme,,0461525178,
Piscina Comunale Pedavena,"Via Dante Alighieri, 1",Pedavena,"sunday: 10:30 - 12:30 / 16:00 - 20:00, monday: 09:00 - 12:00, tuesday: 10:30 - 14:15 / 18:20 - 20:00, wednesday: 06:30 - 08:15, thursday: 10:30 - 14:15 / 19:00 - 21:00, friday: 06:30 - 08:15 / 18:20 - 20:00, saturday: 10:30 - 14:15",0439302061,
Piscina Comunale di Roffo Angelo,"Piazzale degli Alpini, 2",Roana,"sunday: 09:30 - 19:30, monday: 09:30 - 19:30, tuesday: 09:30 - 21:30, wednesday: 09:30 - 21:30, thursday: 09:30 - 21:30, friday: 09:30 - 21:30, saturday: 09:30 - 21:30","3346879265, 3888676170",
Onda Selvaggia di Scaioli Sonia,"Via Merlo, 63",Valbrenta,,042499581,
Asd Tennis Club Norcen,"Via Antonio Vecelli, 45",Pedavena,"sunday: 08:00 - 23:00, monday: 08:00 - 23:00, tuesday: 08:00 - 23:00, wednesday: 08:00 - 23:00, thursday: 08:00 - 23:00, friday: 08:00 - 23:00, saturday: 08:00 - 23:00",3880515132,
Associazione Maestri Sci Asiago,"Via Orthal, 3",Asiago,,"3491730849, 0424463475, 3494463801",
Associazione Maestri Sci Asiago,"Via Stazione, 1",Asiago,,"3405985746, 3458887347",
Azienda Speciale per La Gestione degli Impianti Sportivi del Comune di Trento,"Piazza dalla Chiesa Carlo Alberto, 1",Levico Terme,,"0461708312, 0461708313",
Campo,Via Latifondi,Valbrenta,,,
Campo Da Calcio Regolamentare Mezzano,"Via del Pian, 37",Mezzano,"sunday: 09:00 - 19:00, tuesday: 09:00 - 19:00, wednesday: 09:00 - 19:00, thursday: 09:00 - 19:00, friday: 09:00 - 19:00, saturday: 09:00 - 19:00","0439678068, 043962407",
Campo Ghiaccio di Pergine,"Via al Ponte, 1/A",Pergine Valsugana,"sunday: 14:00 - 16:30, monday: 14:00 - 16:30, tuesday: 14:00 - 16:30, wednesday: 14:00 - 16:30, thursday: 14:00 - 16:00, friday: 14:00 - 16:30, saturday: 14:00 - 16:30",0461534423,
Campo Pedemonte,Via Brancafora,Pedemonte,,,
Campo Sportivo Comunale,Viale Lido,Levico Terme,"sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59",0461706892,
Campo Sportivo di San Nazario,Via XXV Aprile,Valbrenta,,,
Campo Sportivo Moar,"Frazione Azzolini, 82",Lavarone,"sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59",0464783179,
Centro Equitazione Airone,"Localit Barco, 3",Levico Terme,"sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59",3396768993,
Centro Ippico Paoli,"Localit Lochere, 33",Caldonazzo,"sunday: 08:00 - 12:00 / 14:00 - 20:00, monday: 08:00 - 12:00 / 14:00 - 20:00, tuesday: 08:00 - 12:00 / 14:00 - 20:00, wednesday: 08:00 - 12:00 / 14:00 - 20:00, thursday: 08:00 - 12:00 / 14:00 - 20:00, friday: 08:00 - 12:00 / 14:00 - 20:00, saturday: 08:00 - 12:00 / 14:00 - 20:00","0461706186, 3200829633",
Centro Natatorio Pergine Valsugana,"Via Marconi Guglielmo, 51",Pergine Valsugana,"sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 06:00 - 22:00, wednesday: 07:00 - 22:00, thursday: 06:00 - 22:00, friday: 07:00 - 22:00, saturday: 06:00 - 22:00",0461531773,
Circolo Tennis Lavarone A.S.D.,"Frazione Gionghi, 107",Lavarone,"sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59",0464724146,
Circolo Tennis Pergine Assoc.Sport.Dilettantistica,"Viale Petri, 2",Pergine Valsugana,,0461532169,
Comune di Asiago,"Via Stazione, 1",Asiago,,042464144,
